"data_rejeicao","batch_id","marca","modelo","tipo_documento","fonte","url","motivo","idioma","observacao"
"2026-07-01T12:07:55","valtra2_scribd_familias_20260701","VALTRA","A800P","todos","Scribd","consulta: A800P Valtra","sem_resultado_util_scribd_exato","","Busca economica no Scribd por modelo exato nao retornou cards/documentos uteis; nao aplicar documentos A800R-A990R ou A850/A950/A990 sem citacao explicita."
"2026-07-01T12:07:55","valtra2_scribd_familias_20260701","VALTRA","A850C","todos","Scribd","consulta: A850C Valtra","sem_resultado_util_scribd_exato","","Busca economica no Scribd por modelo exato nao retornou cards/documentos uteis; nao aplicar documentos A800R-A990R ou A850/A950/A990 sem citacao explicita."
"2026-07-01T12:07:55","valtra2_scribd_familias_20260701","VALTRA","A950C","todos","Scribd","consulta: A950C Valtra","sem_resultado_util_scribd_exato","","Busca economica no Scribd por modelo exato nao retornou cards/documentos uteis; nao aplicar documentos A800R-A990R ou A850/A950/A990 sem citacao explicita."
"2026-07-01T12:07:55","valtra2_scribd_familias_20260701","VALTRA","A990C","todos","Scribd","consulta: A990C Valtra","sem_resultado_util_scribd_exato","","Busca economica no Scribd por modelo exato nao retornou cards/documentos uteis; nao aplicar documentos A800R-A990R ou A850/A950/A990 sem citacao explicita."
"2026-07-01T12:14:26","valtra2_scribd_bt_20260701","VALTRA","BT170;BT190;BT210","manual_operador/manual_servico","Busca web","https://best-manuals.com/valtra/valtra-acw0843810-valtra-bt150-bt170-bt190-bt210-tractor-pdf-operator-s-manual.html","site_pago_ou_revenda_nao_compensa","EN/PT","Resultado listado por buscador, mas regra do usuario e nao usar links pagos; Scribd validado substituiu necessidade do manual operador."
"2026-07-01T12:14:26","valtra2_scribd_bt_20260701","VALTRA","BT170;BT190;BT210","manual_operador/manual_servico","Busca web","https://servicepartmanuals.com/partmanual/valtra-sa-tractor-series-bt-bt150-bt170-bt190-bt210-operators-manual/","site_pago_ou_revenda_nao_compensa","EN/PT","Resultado listado por buscador, mas regra do usuario e nao usar links pagos; Scribd validado substituiu necessidade do manual operador."
"2026-07-01T12:14:26","valtra2_scribd_bt_20260701","VALTRA","BT170;BT190;BT210","manual_operador/manual_servico","Busca web","https://service-workshopmanual.com/product/valtra-bt-series-bt150-bt170-bt190-bt210-manual-de-servico-pdf-download/","site_pago_ou_revenda_nao_compensa","EN/PT","Resultado listado por buscador, mas regra do usuario e nao usar links pagos; Scribd validado substituiu necessidade do manual operador."
"2026-07-01T12:14:26","valtra2_scribd_bt_20260701","VALTRA","BT170;BT190;BT210","manual_operador/manual_servico","Busca web","https://repairsadvisor.com/valtra-bt-series-bt150-bt170-bt190-bt210-operators-manual-ra0404891.html","site_pago_ou_revenda_nao_compensa","EN/PT","Resultado listado por buscador, mas regra do usuario e nao usar links pagos; Scribd validado substituiu necessidade do manual operador."
"2026-07-01T12:14:26","valtra2_scribd_bt_20260701","VALTRA","BT190;BT210","catalogo_pecas_motor","Valtra Club","https://en.valtra-club.com/manuals.php?ddlb_model=20","candidato_gratuito_nao_baixado_bloqueio_http","PT","Buscador indicou catalogos/listas de pecas de motor BT190/BT210 em portugues, mas o site retornou erro HTTP no navegador; manter pendente."
"2026-07-01T12:15:21","valtra2_scribd_bt_20260701","VALTRA","BT170","manual_servico","Scribd","consulta: Valtra BT150 BT170 BT190 BT210 manual de servico","sem_resultado_util_scribd_exato","","Scribd nao retornou cards para manual de servico BT; busca web mostrou sites pagos, marcados como nao compensa."
"2026-07-01T12:15:21","valtra2_scribd_bt_20260701","VALTRA","BT190","manual_servico","Scribd","consulta: Valtra BT150 BT170 BT190 BT210 manual de servico","sem_resultado_util_scribd_exato","","Scribd nao retornou cards para manual de servico BT; busca web mostrou sites pagos, marcados como nao compensa."
"2026-07-01T12:15:21","valtra2_scribd_bt_20260701","VALTRA","BT210","manual_servico","Scribd","consulta: Valtra BT150 BT170 BT190 BT210 manual de servico","sem_resultado_util_scribd_exato","","Scribd nao retornou cards para manual de servico BT; busca web mostrou sites pagos, marcados como nao compensa."
"2026-07-01T16:25:46","valtra3_20260701","VALTRA","A800C","todos_especificos","DuckDuckGo/Bing/Scribd","consultas exatas por modelo + pdf/manual/catalogo","sem_pdf_especifico_confirmado_nesta_rodada","","Modelo recebeu PDFs genericos Valtra; nao foi encontrado PDF especifico confirmado para aplicar sem misturar modelo parecido."
"2026-07-01T16:25:46","valtra3_20260701","VALTRA","A800P","todos_especificos","DuckDuckGo/Bing/Scribd","consultas exatas por modelo + pdf/manual/catalogo","sem_pdf_especifico_confirmado_nesta_rodada","","Modelo recebeu PDFs genericos Valtra; nao foi encontrado PDF especifico confirmado para aplicar sem misturar modelo parecido."
"2026-07-01T16:25:46","valtra3_20260701","VALTRA","A850C","todos_especificos","DuckDuckGo/Bing/Scribd","consultas exatas por modelo + pdf/manual/catalogo","sem_pdf_especifico_confirmado_nesta_rodada","","Modelo recebeu PDFs genericos Valtra; nao foi encontrado PDF especifico confirmado para aplicar sem misturar modelo parecido."
"2026-07-01T16:25:46","valtra3_20260701","VALTRA","A950C","todos_especificos","DuckDuckGo/Bing/Scribd","consultas exatas por modelo + pdf/manual/catalogo","sem_pdf_especifico_confirmado_nesta_rodada","","Modelo recebeu PDFs genericos Valtra; nao foi encontrado PDF especifico confirmado para aplicar sem misturar modelo parecido."
"2026-07-01T16:25:46","valtra3_20260701","VALTRA","A990C","todos_especificos","DuckDuckGo/Bing/Scribd","consultas exatas por modelo + pdf/manual/catalogo","sem_pdf_especifico_confirmado_nesta_rodada","","Modelo recebeu PDFs genericos Valtra; nao foi encontrado PDF especifico confirmado para aplicar sem misturar modelo parecido."
"2026-07-01T16:25:46","valtra3_20260701","VALTRA","BM115C","todos_especificos","DuckDuckGo/Bing/Scribd","consultas exatas por modelo + pdf/manual/catalogo","sem_pdf_especifico_confirmado_nesta_rodada","","Modelo recebeu PDFs genericos Valtra; nao foi encontrado PDF especifico confirmado para aplicar sem misturar modelo parecido."
"2026-07-01T16:25:46","valtra3_20260701","VALTRA","BM135C","todos_especificos","DuckDuckGo/Bing/Scribd","consultas exatas por modelo + pdf/manual/catalogo","sem_pdf_especifico_confirmado_nesta_rodada","","Modelo recebeu PDFs genericos Valtra; nao foi encontrado PDF especifico confirmado para aplicar sem misturar modelo parecido."
